RoleDisplayName,Permission,RoleType
Attack Payload Author,microsoft.office365.protectionCenter/attackSimulator/reports/allProperties/read,Built-in
Attack Simulation Administrator,microsoft.office365.protectionCenter/attackSimulator/payload/allProperties/allTasks,Built-in
Attack Simulation Administrator,microsoft.office365.protectionCenter/attackSimulator/reports/allProperties/read,Built-in
Attack Simulation Administrator,microsoft.office365.protectionCenter/attackSimulator/simulation/allProperties/allTasks,Built-in
Attribute Assignment Administrator,microsoft.directory/attributeSets/allProperties/read,Built-in
Attribute Assignment Administrator,microsoft.directory/azureManagedIdentities/customSecurityAttributes/read,Built-in
Attribute Assignment Administrator,microsoft.directory/azureManagedIdentities/customSecurityAttributes/update,Built-in
Attribute Assignment Administrator,microsoft.directory/customSecurityAttributeDefinitions/allProperties/read,Built-in
Attribute Assignment Administrator,microsoft.directory/devices/customSecurityAttributes/read,Built-in
Attribute Assignment Administrator,microsoft.directory/devices/customSecurityAttributes/update,Built-in
Attribute Assignment Administrator,microsoft.directory/servicePrincipals/customSecurityAttributes/read,Built-in
Attribute Assignment Administrator,microsoft.directory/servicePrincipals/customSecurityAttributes/update,Built-in
Attribute Assignment Administrator,microsoft.directory/users/customSecurityAttributes/read,Built-in
Attribute Assignment Administrator,microsoft.directory/users/customSecurityAttributes/update,Built-in
Attribute Assignment Reader,microsoft.directory/attributeSets/allProperties/read,Built-in
Attribute Assignment Reader,microsoft.directory/azureManagedIdentities/customSecurityAttributes/read,Built-in
Attribute Assignment Reader,microsoft.directory/customSecurityAttributeDefinitions/allProperties/read,Built-in
Attribute Assignment Reader,microsoft.directory/devices/customSecurityAttributes/read,Built-in
Attribute Assignment Reader,microsoft.directory/servicePrincipals/customSecurityAttributes/read,Built-in
Attribute Assignment Reader,microsoft.directory/users/customSecurityAttributes/read,Built-in
Attribute Definition Administrator,microsoft.directory/attributeSets/allProperties/allTasks,Built-in
Attribute Definition Administrator,microsoft.directory/customSecurityAttributeDefinitions/allProperties/allTasks,Built-in
Attribute Definition Reader,microsoft.directory/attributeSets/allProperties/read,Built-in
